document,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
He was the first to develop a quantum algorithm that,18,0.00,0.82,0.81,0.91
Pichai assured that Alphabet would continue to invest in projects like quantum computers,19,-0.06,0.76,0.81,1.00
CoQREATE will build the research framework for the development of crucial building blocks and infrastructures for a future quantum internet,6,-0.03,0.70,0.81,0.98
QuEra is developing hardware and software with the goal of providing useful quantum computing,35,0.05,0.83,0.84,0.99
"Another new partner, PsiQuantum, is building a utility-scale, error-corrected quantum computer to deliver quantum capabilities that will drive advances in climate, healthcare, energy, finance,",14,-0.03,0.79,0.85,0.90
"qBraid, based in Chicago, is a platform for quantum computing, providing everything necessary to develop quantum software",18,0.00,0.82,0.82,0.92
"Sitting before an audience at the World Economic Forum in Davos, Switzerland, three years ago, Alphabet CEO Sundar Pichai said quantum computing has the power to transform humanity’s understanding of the natural world, enabling scientists to create new drugs and better batteries, among other advances",21,-0.03,0.73,0.86,0.89
"Berkeley, California-based Rigetti Computing , which develops circuits for quantum computers and offers",36,0.03,0.76,0.81,0.91
"We are developing quantum computers designed to solve the world's most complex problems, and transform business, society, and the planet for the better",21,-0.03,0.73,0.81,0.96
our ability to develop our quantum computing program,7,-0.05,0.84,0.89,0.84
"We have applied judgement in determining that our QCaaS contracts represent a combined, stand-ready performance obligation to provide access to our quantum computing systems together with related maintenance and support",25,-0.06,0.76,0.85,0.97
The Company is engaged in quantum computing and develops general-purpose quantum computing systems,7,-0.05,0.84,0.83,0.83
It is focused on developing quantum computers that is designed to solve problems and transform business,10,0.04,0.83,0.87,0.81
The start-up QuiX Quantum receives 14 million to develop a first prototype quantum processor based on photonic systems,25,-0.06,0.76,0.88,0.68
"growing rapidly, industry experts reckon that it will take at least another 10 years before quantum computers with very large numbers of qubits are available",39,-0.08,0.73,0.82,0.92
"The current state of research into quantum technologies and their applications is still at an early stage, offering only a partial understanding",0,0.03,0.80,0.80,0.99
