document,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
The company is developing the 12CQ quantum computing chip,32,0.05,0.79,0.86,0.76
a world-first qubit processor technology that would allow for mobile quantum computing powered devices,28,-0.05,0.79,0.85,0.84
CMU-Q's efforts are closely aligned with the GCC's objectives and the Qatar National Vision 2030 to develop human potential across the region,39,0.01,0.74,0.80,0.89
"Their work inspired me to do a little thinking and research on quantum information,” Shor recalls",10,-0.05,0.77,0.85,0.81
Pichai assured that Alphabet would continue to invest in projects like quantum computers,17,-0.07,0.76,0.82,0.97
CoQREATE will build the research framework for the development of crucial building blocks and infrastructures for a future quantum internet,39,0.01,0.74,0.81,0.92
"in the CQE community, these organizations are developing quantum technology",32,0.05,0.79,0.84,0.86
QuEra is developing hardware and software with the goal of providing useful quantum computing,32,0.05,0.79,0.84,0.78
"Another new partner, PsiQuantum, is building a utility-scale, error-corrected quantum computer to deliver quantum capabilities that will drive advances in climate, healthcare, energy, finance,",9,-0.05,0.73,0.85,0.97
"qBraid, based in Chicago, is a platform for quantum computing, providing everything necessary to develop quantum software",29,0.02,0.83,0.83,0.93
"Sitting before an audience at the World Economic Forum in Davos, Switzerland, three years ago, Alphabet CEO Sundar Pichai said quantum computing has the power to transform humanity’s understanding of the natural world, enabling scientists to create new drugs and better batteries, among other advances",33,-0.03,0.72,0.84,0.87
"Berkeley, California-based Rigetti Computing , which develops circuits for quantum computers and offers",7,0.01,0.74,0.81,0.92
our ability to develop our quantum computing program,26,0.06,0.88,0.92,0.68
"We have applied judgement in determining that our QCaaS contracts represent a combined, stand-ready performance obligation to provide access to our quantum computing systems together with related maintenance and support",36,-0.03,0.79,0.82,0.91
The Company is engaged in quantum computing and develops general-purpose quantum computing systems,37,-0.06,0.78,0.85,0.98
Germany is well positioned in basic research in quantum computing,0,0.21,0.85,0.85,0.60
"growing rapidly, industry experts reckon that it will take at least another 10 years before quantum computers with very large numbers of qubits are available",22,-0.04,0.70,0.81,0.98
"to solve a problem, a quantum computer can use qubits to run several calculations",3,-0.02,0.77,0.81,0.86
"The current state of research into quantum technologies and their applications is still at an early stage, offering only a partial understanding",29,0.02,0.83,0.90,0.89
"EuroQCI is the European Union’s initiative to build, develop and deploy this pan-European quantum secure",23,-0.03,0.81,0.91,0.72
Their work inspired me to do a little thinking and research on quantum information,10,-0.05,0.77,0.84,0.76
