document,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
"Malaysia Airlines (MAS) and Japan Airlines (JAL) have expanded their codeshare operations for the new direct flights from Kuala Lumpur to Haneda, Tokyo, beginning Aug 14",38,0.51,0.94,0.99,0.22
"Poland’s air traffic fell by 38 per cent from February to March, Moore said,",8,0.58,0.94,0.99,0.24
"the cost of business travel will rise extremely in 2022, even if the number of trips is still below the pre-crisis level",10,1.00,1.00,1.00,0.00
"punctuality across all UK airports last year was better than before the pandemic, due to the introduction of Covid travel restrictions leading to a drop in flights",30,0.11,0.86,0.91,0.70
Lufthansa last week announced plans to cut an as-yet-unspecified number of flights between October,13,0.92,0.99,1.00,0.04
"returns to Four Seasons Toronto as senior spa director        Cebu Pacific to increase flights between Mactan Island and Seoul, South Korea",20,0.57,0.97,1.00,0.19
because it launched its greatest UK winter schedule whereas predicting short-haul aviation wouldn’t return to pre-Covid ranges till 2025,20,0.57,0.97,1.00,0.19
"British Airways said last week that it would cut more than 10,000 flights over the winter season, running from Oct 30 through March 25",8,0.58,0.94,0.99,0.24
"British Airways, a unit of International Consolidated Airlines Group SA, last week said it would cut more than 10,000 flights over the winter season, running from Oct. 30 through March 25",8,0.58,0.94,0.99,0.24
Punctuality across the aviation industry in 2021 was better than before the coronavirus pandemic due to the reduction in flights caused by travel restrictions,4,0.11,0.81,0.91,0.86
"British Airways, a unit of the International Consolidated Airlines Group SO,       last week said it would cut more than 10,000 flights during the winter season",8,0.58,0.94,0.99,0.24
"Amid tourism restrictions because of ongoing COVID spikes, international flights to China have not returned",20,0.57,0.97,1.00,0.19
"Thai Vietjet has continuously expanded its international flight network to many top tourist destinations, including Fukuoka (Japan), Phú Quốc (Vietnam),",38,0.51,0.94,0.99,0.22
Industry projections showed that international air travel would return to pre-pandemic levels in 2023,20,0.57,0.97,1.00,0.19
British Airways has announced it plans to cut thousands of flights from its winter schedule because of airport passenger caps and dwindling demand as fall and winter approach,13,0.92,0.99,1.00,0.04
"AVIATION       BA to cut 10,000 Heathrow flights",25,0.29,0.84,0.98,0.37
It stated that flights would be reduced from 11 per week to seven per week at the Murtala Muhammed International Airport,33,0.98,1.00,1.00,0.02
"On Monday, British Airways announced it would cut around 10,000 short-haul flights",13,0.92,0.99,1.00,0.04
"British Airways said yesterday it would cut 10,000 short-haul flights",8,0.58,0.94,0.99,0.24
"Thai Vietjet has continuously expanded its international flight network to many top tourist destinations including Fukuoka (Japan), Phu Quoc (Vietnam),",38,0.51,0.94,0.99,0.22
The major airline has also announced that it will be cutting thousands of flights from its winter schedule,13,0.92,0.99,1.00,0.04
The national flag carrier has cut flights impacting almost one million customers as it continues to struggle with a cap on departures from Heathrow and staff shortages in the wake,28,0.44,0.88,0.98,0.23
"relative strength       Tue 23 Adds $44 million (3.4%) in MCap, top heavyweight rise in Aerospace & defense sector",3,0.84,0.97,1.00,0.10
"3.8 3.5 Top Rise       Thu 25 Adds $83 million (3.4%) in MCap, top heavyweight rise in Aerospace & defense sector",3,0.84,0.97,1.00,0.10
"on rising relative strength       Thu 25 Adds CNY3 billion ($424 million) (2.7%) in MCap, top heavyweight rise in Aerospace products/parts sector",3,0.84,0.97,1.00,0.10
"2.4       Thu 25 Adds CNY289 million ($42 million) (1.1%) in MCap, top heavyweight rise in Aerospace & defense sector",3,0.84,0.97,1.00,0.10
"RPC % * Comment       Mon 22 Adds CNY2 billion ($340 million) (2.1%) in MCap, top heavyweight rise in Aerospace & defense sector",3,0.84,0.97,1.00,0.10
"Wed 24 Adds EUR24,378 ($24,309) (2.4%) in MCap, top heavyweight rise in Aerospace & defense sector 0.38",3,0.84,0.97,1.00,0.10
We would like to apologise to some of our customers who have experienced flight delays recently,28,0.44,0.88,0.98,0.23
"Airlines asked to increase flights,",17,0.40,0.89,0.99,0.25
Rising demand for chartered air travel in the UK means many English Premier League clubs are seeing their plans,2,0.04,0.80,0.91,0.69
Frontier Airlines is expanding their nonstop flight services adding a leg from Nashville to Phoenix,38,0.51,0.94,0.99,0.22
"During the height of the pandemic, however, domestic flights fell to seven percent of 2019 levels, so",30,0.11,0.86,0.97,0.53
"Steepest Fall       Tue 23 Adds $29 million (1.5%) in MCap, top heavyweight rise in Aerospace & defense sector",3,0.84,0.97,1.00,0.10
"above moving average price 808.4 0.7 0.9 Price/MAP50 above 1 and rising       Tue 23 Loses GBP358 million ($421 million) (1.4%) in MCap, steepest heavyweight fall in Aerospace & defense sector 797 -1.4 -0.8 Week",27,0.40,0.87,0.96,0.34
#WingsOverAsia       via WingsOverAsia Singapore FBO Announces Rebranding of Membership Club & Enhancement of Private Aviation Services,13,0.92,0.99,1.00,0.04
"Thai Vietjet has continuously expanded its international flight network to many top tourist destinations, including Fukuoka (Japan), Ph\\xFA Quc (Vietnam),",38,0.51,0.94,0.99,0.22
Thai Vietjet has continuously expanded its international flight network to many top tourist destinations,38,0.51,0.94,0.99,0.22
The airline has recently increased the number of flights between Delhi and Bangkok to daily service,17,0.40,0.89,0.99,0.25
"Boeing shared its vision for increasing Vietnam's opportunities in aerospace manufacturing and training, supply chain, sustainable aviation, and research and development",23,0.35,0.90,0.99,0.31
Startup IPP Air Cargo is due to take off next month,10,1.00,1.00,1.00,0.00
Customers can then purchase the carbon offsets,28,0.44,0.88,0.98,0.23
"With the decline in air travel during the pandemic, the number of nonstop destinations from RDU dropped",30,0.11,0.86,0.97,0.53
An airline is increasing its flights from Fort Myers,17,0.40,0.89,0.99,0.25
"the flight returned to Guadalajara’s airport, where it made an emergency landing 45 minutes after takeoff,",5,-0.03,0.80,0.90,0.77
"10.8       Tue 23 Adds $29 million (1.5%) in MCap, top heavyweight rise in Aerospace & defense sector",3,0.84,0.97,1.00,0.10
"As a result of this recovery trend in international air travel and the increase in flights, SIAEC saw an increase in MRO activity in the second half of the financial year",2,0.04,0.80,0.97,0.63
"5.9       Wed 24 Adds EUR24,378 ($24,309) (2.4%) in MCap, top heavyweight rise in Aerospace & defense sector 0.38",3,0.84,0.97,1.00,0.10
"A Share (600009: CNY57.69) adds CNY3 billion ($424 million) (2.7%) in MCap, top heavyweight rise in Aerospace products/parts sector",3,0.84,0.97,1.00,0.10
international cargo flights are increasing,10,1.00,1.00,1.00,0.00
Etihad Airways has recently announced the extension of its flights between Abu Dhabi and Zanzibar,13,0.92,0.99,1.00,0.04
