keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
1d,13,-0.17,0.46,0.62,0.83
1s,0,-0.16,0.50,0.52,0.97
2d,13,-0.17,0.46,0.60,0.95
2n,13,-0.17,0.46,0.57,0.86
3d,31,-0.09,0.60,0.60,0.93
3d-packaging,6,-0.17,0.45,0.53,0.95
3n,13,-0.17,0.46,0.63,0.81
4k,17,-0.09,0.62,0.69,0.91
4k-tv,0,-0.16,0.50,0.67,0.94
5ms,13,-0.17,0.46,0.59,0.88
8g,13,-0.17,0.46,0.52,0.95
absorption,12,-0.11,0.59,0.60,0.96
academia,3,-0.14,0.55,0.52,0.97
academic,26,-0.14,0.54,0.51,1.00
academic-institution,24,-0.18,0.46,0.61,0.90
academic-research,31,-0.09,0.60,0.63,0.92
academic-researcher,24,-0.18,0.46,0.65,0.99
academy,15,-0.19,0.47,0.53,0.98
accelerate,29,-0.02,0.69,0.83,0.75
acceleration,4,-0.20,0.45,0.61,0.89
accelerometer,1,-0.09,0.60,0.53,0.94
accept,11,-0.10,0.60,0.75,0.92
access,22,-0.06,0.66,0.62,0.91
accessibility,3,-0.14,0.55,0.58,0.96
accommodate,22,-0.06,0.66,0.64,0.95
accompany,11,-0.10,0.60,0.66,0.96
accomplish,29,-0.02,0.69,0.70,0.96
accuracy,12,-0.11,0.59,0.58,0.90
accurate,37,-0.15,0.56,0.61,0.93
accurately,12,-0.11,0.59,0.53,0.98
achievable,37,-0.15,0.56,0.61,0.94
achieve,29,-0.02,0.69,0.78,0.83
acknowledge,11,-0.10,0.60,0.70,0.83
acoustic,1,-0.09,0.60,0.59,0.94
actionable,33,-0.11,0.59,0.52,0.91
activate,22,-0.06,0.66,0.71,0.92
active-ingredient,7,-0.11,0.60,0.60,0.91
actor,15,-0.19,0.47,0.66,0.97
actually,20,-0.13,0.57,0.73,0.78
ad,15,-0.19,0.47,0.52,0.95
adapt,29,-0.02,0.69,0.74,0.93
adaptive,33,-0.11,0.59,0.75,0.77
adaptive-optics,6,-0.17,0.45,0.58,0.96
add,29,-0.02,0.69,0.68,0.98
additional-limitation,24,-0.18,0.46,0.52,0.92
additive,1,-0.09,0.60,0.53,0.98
additive-manufacturing,31,-0.09,0.60,0.73,0.88
address,22,-0.06,0.66,0.66,0.95
addressable,33,-0.11,0.59,0.55,0.92
adiabatic,1,-0.09,0.60,0.66,0.94
adopt,22,-0.06,0.66,0.76,0.88
adoption,3,-0.14,0.55,0.55,0.92
advance,29,-0.02,0.69,0.67,0.92
advanced,31,-0.09,0.60,0.63,0.99
advanced-computer,24,-0.18,0.46,0.58,0.94
advanced-manufacturing,3,-0.14,0.55,0.68,0.96
advanced-technology,3,-0.14,0.55,0.66,0.95
advancement,3,-0.14,0.55,0.62,0.94
adversaries,25,-0.14,0.54,0.66,0.82
adversary,24,-0.18,0.46,0.55,0.95
aerospace,31,-0.09,0.60,0.61,0.96
affect,11,-0.10,0.60,0.64,0.91
affiliated-researcher,24,-0.18,0.46,0.62,0.89
affiliate-professor,26,-0.14,0.54,0.59,0.93
affirm,11,-0.10,0.60,0.63,0.93
afford,10,-0.06,0.66,0.61,0.95
affordable,33,-0.11,0.59,0.63,0.90
afrl,6,-0.17,0.45,0.61,0.92
again,20,-0.13,0.57,0.62,0.91
agencies,25,-0.14,0.54,0.62,0.90
agency,28,-0.14,0.56,0.64,0.92
agent,2,-0.19,0.47,0.53,0.94
aggravate,30,-0.16,0.48,0.62,0.99
agnostic,33,-0.11,0.59,0.61,0.90
agree,11,-0.10,0.60,0.67,0.94
agricultural,3,-0.14,0.55,0.52,0.97
agriculture,3,-0.14,0.55,0.65,0.87
ai,3,-0.14,0.55,0.65,0.95
ai-chip,17,-0.09,0.62,0.72,0.85
aide,28,-0.14,0.56,0.61,0.87
ai-researcher,26,-0.14,0.54,0.68,0.88
ai-service,6,-0.17,0.45,0.53,0.95
algae,1,-0.09,0.60,0.63,0.90
algorithm,39,-0.12,0.59,0.64,0.96
algorithmic,6,-0.17,0.45,0.51,0.94
algorithms,39,-0.12,0.59,0.63,0.93
alice,14,-0.03,0.68,0.68,0.91
align,29,-0.02,0.69,0.68,0.96
allocate,22,-0.06,0.66,0.68,0.89
allow,22,-0.06,0.66,0.69,0.87
also,20,-0.13,0.57,0.50,0.94
alter,11,-0.10,0.60,0.71,0.85
alternative-future,24,-0.18,0.46,0.56,0.85
alum,14,-0.03,0.68,0.63,0.99
aluminum,1,-0.09,0.60,0.52,0.90
alumnus,26,-0.14,0.54,0.71,0.86
always,20,-0.13,0.57,0.68,0.89
amanda,14,-0.03,0.68,0.84,0.62
amazing,8,-0.17,0.51,0.77,0.76
amazon-alexa,0,-0.16,0.50,0.51,0.95
ambassador,28,-0.14,0.56,0.61,0.89
ambiguity,18,-0.21,0.38,0.53,0.96
ambitious,8,-0.17,0.51,0.54,0.91
american-submarine,24,-0.18,0.46,0.53,1.00
amount,38,-0.21,0.45,0.54,0.89
amplifier,1,-0.09,0.60,0.64,0.94
amplitude,12,-0.11,0.59,0.80,0.81
analog,31,-0.09,0.60,0.52,0.97
analogue,1,-0.09,0.60,0.51,0.98
analytical,31,-0.09,0.60,0.61,0.94
analyze,22,-0.06,0.66,0.60,0.96
ancilla,9,0.29,0.27,0.55,0.74
android,17,-0.09,0.62,0.68,0.92
angle,1,-0.09,0.60,0.61,0.97
animal,7,-0.11,0.60,0.53,0.98
anion-exchange,13,-0.17,0.46,0.59,0.94
annealer,21,-0.12,0.48,0.57,0.96
annealing,1,-0.09,0.60,0.63,0.96
annually,38,-0.21,0.45,0.65,0.79
anomaly,12,-0.11,0.59,0.54,0.96
ansatz,13,-0.17,0.46,0.66,0.93
answer,11,-0.10,0.60,0.59,0.95
antioxidant,7,-0.11,0.60,0.54,0.95
anyone,20,-0.13,0.57,0.61,0.88
anything,20,-0.13,0.57,0.60,0.85
ap,28,-0.14,0.56,0.53,0.99
app,39,-0.12,0.59,0.73,0.84
apparatus,1,-0.09,0.60,0.54,0.95
appeal,11,-0.10,0.60,0.58,0.96
appear,11,-0.10,0.60,0.53,0.97
appendix-q,18,-0.21,0.38,0.52,0.87
applicability,12,-0.11,0.59,0.50,0.98
applicant,2,-0.19,0.47,0.67,0.88
application,2,-0.19,0.47,0.59,0.96
application-programming,6,-0.17,0.45,0.59,0.90
apply,22,-0.06,0.66,0.77,0.87
appoint,22,-0.06,0.66,0.60,0.94
appreciable,35,-0.17,0.50,0.51,0.96
approach,3,-0.14,0.55,0.51,0.96
approachable,8,-0.17,0.51,0.60,0.91
appropriate,37,-0.15,0.56,0.66,0.86
approve,22,-0.06,0.66,0.59,0.94
approximately,38,-0.21,0.45,0.60,0.83
aquaculture,3,-0.14,0.55,0.59,1.00
arbitrary,18,-0.21,0.38,0.51,0.97
archer,15,-0.19,0.47,0.61,0.97
architecture,31,-0.09,0.60,0.66,0.97
arena,15,-0.19,0.47,0.55,0.91
argb,0,-0.16,0.50,0.59,0.98
argos,0,-0.16,0.50,0.58,0.89
argue,11,-0.10,0.60,0.71,0.84
arise,11,-0.10,0.60,0.58,0.92
arithmetic,12,-0.11,0.59,0.52,0.93
army,28,-0.14,0.56,0.58,0.94
arrange,22,-0.06,0.66,0.63,0.88
array,1,-0.09,0.60,0.59,0.94
arrive,10,-0.06,0.66,0.68,0.87
artificial-intelligence,3,-0.14,0.55,0.71,0.97
artificial-photosynthesis,6,-0.17,0.45,0.55,0.97
artist,15,-0.19,0.47,0.61,0.95
artistic,8,-0.17,0.51,0.55,0.94
artwork,0,-0.16,0.50,0.58,0.94
ar-vr,31,-0.09,0.60,0.56,0.96
ascertain,11,-0.10,0.60,0.61,0.97
ask,10,-0.06,0.66,0.66,0.95
aspiring-artist,24,-0.18,0.46,0.56,0.84
assemble,22,-0.06,0.66,0.66,0.92
assembly,28,-0.14,0.56,0.57,0.95
assertion,28,-0.14,0.56,0.56,0.94
assess,22,-0.06,0.66,0.72,0.88
assign,22,-0.06,0.66,0.70,0.92
assist,22,-0.06,0.66,0.70,0.89
assistant,26,-0.14,0.54,0.56,0.92
assistant-professor,26,-0.14,0.54,0.74,0.88
associated,35,-0.17,0.50,0.50,0.91
associate-director,26,-0.14,0.54,0.64,0.87
associate-professor,26,-0.14,0.54,0.76,0.86
assume,11,-0.10,0.60,0.67,0.87
assure,22,-0.06,0.66,0.63,0.99
astronomy,31,-0.09,0.60,0.65,0.88
atmosphere,1,-0.09,0.60,0.57,0.94
atmospheric,1,-0.09,0.60,0.57,0.92
atom,1,-0.09,0.60,0.63,0.93
atomic,1,-0.09,0.60,0.61,0.93
atomic-clock,1,-0.09,0.60,0.62,0.91
atomic-physics,31,-0.09,0.60,0.68,0.98
atomic-scale,1,-0.09,0.60,0.60,0.94
atomic-species,9,0.29,0.27,0.51,0.70
atoms,1,-0.09,0.60,0.78,0.86
attack,28,-0.14,0.56,0.56,0.96
attacker,39,-0.12,0.59,0.52,0.94
attain,29,-0.02,0.69,0.68,0.88
attendee,24,-0.18,0.46,0.55,0.95
attract,29,-0.02,0.69,0.71,0.88
attractive,37,-0.15,0.56,0.56,0.93
attribute,11,-0.10,0.60,0.64,0.91
audience,20,-0.13,0.57,0.63,0.87
audio-product,0,-0.16,0.50,0.52,0.94
