document,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
"Quantum error mitigation       (QEM) techniques can reduce the estimation bias without requiring any increase       in the number of qubits, but they in turn cause an increase in the variance of       the gradient estimates",3,0.02,0.76,0.64,0.98
turn can be used to       circulate a token in a quantum network or quantum Internet for building a       distributed quantum computing system,28,-0.05,0.67,0.67,0.98
Security concerns about quantum computing continue to increase,9,-0.08,0.73,0.70,0.98
"In addition, it develops synthesize graphene, graphene oxide, and graphene quantum dots for applications of graphene",3,0.02,0.76,0.80,0.96
3 e-scooter review       Tier to upgrade e-scooter fleet with a smart 'Parrot'       Q,3,0.02,0.76,0.41,0.99
Dr Trick said CMU-Q’s efforts are closely aligned with the GCC’s objectives and the Qatar National Vision 2030 to develop human potential across the region,9,-0.08,0.73,0.78,0.93
"This program will begin with an Art-B-Q on Thursday, September 29, and will last until Sunday, October 2, when students will be able to select a work during the Art Match session",5,-0.09,0.56,0.71,0.86
The company is developing the 12CQ quantum computing chip,20,0.04,0.89,0.96,0.59
a world-first qubit processor technology that would allow for mobile quantum computing powered devices,15,0.02,0.86,0.78,0.89
One of the team leaders will participate in a Q&A meetup,7,0.03,0.77,0.54,1.00
CMU-Q's efforts are closely aligned with the GCC's objectives and the Qatar National Vision 2030 to develop human potential across the region,9,-0.08,0.73,0.81,0.95
"DATALINK delivers mission-critical services, which combine technical expertise, international best practices and subject matter experts,”       Q",25,0.03,0.82,0.80,0.99
"In announcing the award, the Breakthrough Prize Foundation highlighted Shor’s contributions to the quantum information field, including the eponymous Shor’s algorithm for factoring extremely large numbers",28,-0.05,0.67,0.57,0.99
He was the first to develop a quantum algorithm that,39,0.14,0.93,0.94,0.75
"Their work inspired me to do a little thinking and research on quantum information,” Shor recalls",1,-0.08,0.71,0.85,0.76
Pichai assured that Alphabet would continue to invest in projects like quantum computers,12,-0.08,0.68,0.76,1.00
"in fact, thanks to their spectrofluorometric peculiarities, dozens of quantum dots may be simultaneously used without appreciable crosstalk between them",28,-0.05,0.67,0.45,0.89
CoQREATE will build the research framework for the development of crucial building blocks and infrastructures for a future quantum internet,19,0.03,0.83,0.83,0.96
QD-OLED brings quantum dot technology to the OLED display,27,-0.09,0.64,0.62,0.95
IN-Q and FIFA World Cup Qatar 2022 water bottles are available at all QM gift shops,2,0.08,0.85,0.76,0.91
"However, a quantum computer’s capacity to quickly process enormous amounts of data could improve weather system modeling, enabling researchers to quickly and accurately predict shifting weather patterns",3,0.02,0.76,0.75,0.96
"in the CQE community, these organizations are developing quantum technology",17,0.14,0.87,0.96,0.63
"Together, Chicago Quantum Exchange institutions and partners advance the science and engineering necessary to build and scale quantum technologies and develop practical applications",20,0.04,0.89,0.81,0.90
QuEra is developing hardware and software with the goal of providing useful quantum computing,20,0.04,0.89,0.96,0.60
"Another new partner, PsiQuantum, is building a utility-scale, error-corrected quantum computer to deliver quantum capabilities that will drive advances in climate, healthcare, energy, finance,",4,-0.08,0.79,0.88,0.88
"qBraid, based in Chicago, is a platform for quantum computing, providing everything necessary to develop quantum software",39,0.14,0.93,0.92,0.79
"QuantCAD, also with an office in Chicago, offers classical modeling software that accurately predicts the noise sensitivity of quantum devices",3,0.02,0.76,0.73,0.93
a key requirement to enable the quantum internet,15,0.02,0.86,0.89,0.70
"Sitting before an audience at the World Economic Forum in Davos, Switzerland, three years ago, Alphabet CEO Sundar Pichai said quantum computing has the power to transform humanity’s understanding of the natural world, enabling scientists to create new drugs and better batteries, among other advances",10,-0.04,0.69,0.76,1.00
"outdone, IBM announced in May that it plans on delivering a 4,000-qubit computer by 2025",7,0.03,0.77,0.80,0.64
"fault tolerant” quantum machine will ever be built, Oxford University physicist Nikita Gourianov wrote in an August",19,0.03,0.83,0.77,0.87
"I’ve seen some amazing advancements in qubit fidelity,” Karagiannis said in an interview",1,-0.08,0.71,0.68,0.94
"Berkeley, California-based Rigetti Computing , which develops circuits for quantum computers and offers",3,0.02,0.76,0.87,0.89
The tech giant has eight quantum computing labs around the world and is working on developing its own quantum computer relying on a potentially more stable form of technology,10,-0.04,0.69,0.75,0.81
"For instance, there is an impressive project on quantum amplifiers for Polar Express,",2,0.08,0.85,0.85,0.79
Analysts and investors are invited to join a conference call and audio webcast presentation with Q,7,0.03,0.77,0.49,1.00
The program will prepare students to implement and execute applications on quantum computers or their simulators and understand how various physical implementations of quantum computers affect capabilities and performance,11,-0.08,0.72,0.82,0.90
"We are developing quantum computers designed to solve the world's most complex problems, and transform business, society, and the planet for the better",34,-0.08,0.81,0.92,0.76
we are in the process of researching and developing technologies for quantum computers with increasing computational capabilities,0,-0.04,0.84,0.80,0.91
"We currently make access to our quantum computers available via three major cloud platforms, Amazon Web Services' (""AWS"") Amazon Braket,",30,0.11,0.86,0.87,0.75
our ability to develop our quantum computing program,20,0.04,0.89,0.96,0.68
"We have applied judgement in determining that our QCaaS contracts represent a combined, stand-ready performance obligation to provide access to our quantum computing systems together with related maintenance and support",25,0.03,0.82,0.88,0.80
"Prior to 2019, we built certain quantum computing systems solely for research and development purposes and these quantum computing systems were deemed to have no alternative future use",0,-0.04,0.84,0.68,0.99
"The assumptions used to assess impairment consider historical trends, macroeconomic conditions, and projections consistent with our operating strategy including the pace of technological change or specific technological challenges in building our quantum computing systems",12,-0.08,0.68,0.58,0.99
The Company is engaged in quantum computing and develops general-purpose quantum computing systems,20,0.04,0.89,0.93,0.68
It is focused on developing quantum computers that is designed to solve problems and transform business,34,-0.08,0.81,0.85,0.98
"AITX also expects to publish its comprehensive 10-Q Quarterly Report by October 15, 2022",6,0.27,0.86,0.83,0.68
"The Company expects to publish its comprehensive 10-Q Quarterly Report by September 15, 2022",6,0.27,0.86,0.83,0.68
"the original mission of an enterprise is to contribute to the development of society by supplying products and services of superior q uality that are useful in people's lives, at reasonable prices, in appropriate amounts",2,0.08,0.85,0.78,0.91
material and device properties to improve the performance of spin qubits,3,0.02,0.76,0.71,0.92
"Together with Q Shield's security enforcement in each location, our total solution is unparallel",2,0.08,0.85,0.77,0.87
"The ULMII event is a free entertainment conference offering a Professional Industry Panel Q&A Session, a Professional Talent Showcase and National Talent Competition (vocal, songwriting, dance and acting) where aspiring artists have a chance to receive over $17,500 valued in prizes/product/services",2,0.08,0.85,0.73,0.93
"League of Legends players can use the Q and W combo to lock enemies in place, thus creating an opening for the rest of the team to follow and deal damage",27,-0.09,0.64,0.68,0.96
