document,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
The company is developing the 12CQ quantum computing chip,30,-0.02,0.90,0.98,0.67
He was the first to develop a quantum algorithm that,8,0.08,0.92,0.92,0.86
"in the CQE community, these organizations are developing quantum technology",39,0.05,0.85,0.95,0.57
QuEra is developing hardware and software with the goal of providing useful quantum computing,30,-0.02,0.90,0.97,0.73
"qBraid, based in Chicago, is a platform for quantum computing, providing everything necessary to develop quantum software",8,0.08,0.92,0.92,0.88
our ability to develop our quantum computing program,30,-0.02,0.90,0.94,0.72
The Company is engaged in quantum computing and develops general-purpose quantum computing systems,30,-0.02,0.90,0.92,0.74
"The current state of research into quantum technologies and their applications is still at an early stage, offering only a partial understanding",28,0.01,0.88,0.93,0.83
"EuroQCI is the European Union’s initiative to build, develop and deploy this pan-European quantum secure",8,0.08,0.92,0.97,0.75
The company builds quantum computers and the superconducting quantum processors that power them,29,0.07,0.85,0.95,0.52
"EuroQCI is a European Union initiative to build, develop and deploy this pan-European quantum secure",8,0.08,0.92,0.97,0.75
Samsung is Using Quantum Computing to Research Better,31,0.01,0.78,0.92,0.73
"Shor developed the first potentially useful quantum algorithm,",30,-0.02,0.90,0.95,0.78
it presents the go-to choice for many small scale qubit systems and is commonly,2,0.01,0.91,0.91,0.80
Quantum information processing for solving real-world problems is available now,2,0.01,0.91,0.94,0.78
The Programme will focus on developing quantum hardware and quantum materials as well as algorithms to deliver a quantum computer that can solve tasks which today are insolvable,8,0.08,0.92,0.92,0.87
"are not looking to compete against organisations like Google, Microsoft, IBM and Intel and others who are racing to build quantum computers",8,0.08,0.92,0.94,0.67
that are developing quantum computers and devices,30,-0.02,0.90,0.94,0.78
These atom arrays can function as quantum processors and are strong contenders for building a quantum computer capable of solving certain computational problems much faster,34,0.09,0.84,0.92,0.86
"Even when quantum computing’s science is established, there will be challenges like familiarizing the industry with a computing system that",28,0.01,0.88,0.92,0.98
They enable the creation of qubits that,3,0.01,0.84,0.91,0.74
Rigetti Computing (NASDAQ:RGTI) provides quantum computing systems and services,21,0.02,0.87,0.96,0.58
that quantum computing is still in its early stages,11,0.12,0.95,0.98,0.51
