document,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
"President Joe Biden extends full blocking sanctions to four Russian banks and bans exports of sensitive US technologies, especially in the aviation, maritime and defence sectors",6,0.04,0.77,0.92,0.64
"relative strength       Tue 23 Adds $44 million (3.4%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"3.8 3.5 Top Rise       Thu 25 Adds $83 million (3.4%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"on rising relative strength       Thu 25 Adds CNY3 billion ($424 million) (2.7%) in MCap, top heavyweight rise in Aerospace products/parts sector",4,0.39,0.89,0.96,0.38
"2.4       Thu 25 Adds CNY289 million ($42 million) (1.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Mon 22 Adds CNY2 billion ($340 million) (2.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Wed 24 Adds EUR24,378 ($24,309) (2.4%) in MCap, top heavyweight rise in Aerospace & defense sector 0.38",4,0.39,0.89,0.96,0.38
"The group also would like the Transportation Department to discontinue flights that are chronically delayed, temporarily lift the mandatory retirement age of pilots from 65 to 68 to provide the industry with more pilots and require airlines",6,0.04,0.77,0.90,0.63
"Steepest Fall       Tue 23 Adds $29 million (1.5%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"A small number of workers will be able to go to Malaysia through these flights but the number of flights will increase to 3-4 every day from the beginning of September,” said KM Mobarak Ullah Shimul, Proprietor of Adeb Air Travels and Tours",3,0.15,0.77,0.91,0.51
"10.8       Tue 23 Adds $29 million (1.5%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"5.9       Wed 24 Adds EUR24,378 ($24,309) (2.4%) in MCap, top heavyweight rise in Aerospace & defense sector 0.38",4,0.39,0.89,0.96,0.38
"A Share (600009: CNY57.69) adds CNY3 billion ($424 million) (2.7%) in MCap, top heavyweight rise in Aerospace products/parts sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Thu 18 Adds CAD29 million ($23 million) (1.7%) in MCap, top heavyweight rise in Aerospace & defense sector 18.24",4,0.39,0.89,0.96,0.38
"Continuous growth in global aviation, air traffic, and rise in the tourism industry are the key factors",6,0.04,0.77,0.93,0.66
"Steepest Fall       Wed 24 Adds GBP321 million ($380 million) (1.3%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Tue 23 Adds $29 million (1.5%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Thu 18 Adds EUR150 million ($153 million) (1.2%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"on slipping relative strength       Mon 22 Adds CNY2 billion ($340 million) (2.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"1.2       Thu 18 Adds CAD29 million ($23 million) (1.7%) in MCap, top heavyweight rise in Aerospace & defense sector 18.24",4,0.39,0.89,0.96,0.38
"Embraer-Empresa Brasileira de Aeronautica ADR (ERJ: $10.96) adds $29 million (1.5%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Growth in the aviation sector in terms of CAGR is 10 per cent annually, he added",6,0.04,0.77,0.90,0.68
"Growth in the aviation sector in terms of CAGR is 10% annually, he added",6,0.04,0.77,0.90,0.68
"The airline indicated that the increase in flights will provide travelers with more options and flexibility between Abu Dhabi and New York, and comes at the optimal time before the start of the Formula 1 Etihad Airways Abu Dhabi Grand",3,0.15,0.77,0.93,0.43
"as airlines are gearing up to increase flights, Phuket",3,0.15,0.77,0.94,0.44
"A Share (600893: CNY50.71) adds CNY2 billion ($340 million) (2.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Steepest Fall       Mon 22 Adds CNY2 billion ($340 million) (2.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Tue 16 Adds $2 billion (1.9%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Tue 16 Adds $76 million (3.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Manila-Davao flights will also be increased from 21 times to 28 times weekly next month, the airline said",3,0.15,0.77,0.93,0.45
"RPC % * Comment       Mon 15 Adds $54 million (2.8%) in MCap, top heavyweight rise in Aerospace & defense sector 16.01",4,0.39,0.89,0.96,0.38
"Thu 18 Adds CAD29 million ($23 million) (1.7%) in MCap, top heavyweight rise in Aerospace & defense sector 18.24",4,0.39,0.89,0.96,0.38
"At the same time, Jetblue announced that they are increasing their flights between New York - Aruba and Boston - Aruba, creating a balance in the capacity gap",3,0.15,0.77,0.90,0.48
"Fujian Sunner Development adds CNY336 million ($49 million) (1.4%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Steepest Fall       Fri 19 Adds CNY336 million ($49 million) (1.4%) in MCap, top heavyweight rise in Aerospace & defense sector 19.23",4,0.39,0.89,0.96,0.38
"27.67 -1.0 -0.4 Price/MAP200 below 1 and falling       Tue 16 Adds $2 billion (1.9%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"HizeAero adds KRW842 million ($633,669) (1.1%) in MCap, top heavyweight rise in Aerospace products/parts sector",4,0.39,0.89,0.96,0.38
"Fri 19 Adds KRW842 million ($633,669) (1.1%) in MCap, top heavyweight rise in Aerospace products/parts sector 4,075",4,0.39,0.89,0.96,0.38
"Tue 16 Adds $76 million (3.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"on falling relative strength       Tue 16 Adds CNY502 million ($74 million) (2.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Thu 18 Adds CNY253 million ($37 million) (1.0%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Mon 15 Adds $140 million (1.3%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Mon 15 Adds CNY352 million ($52 million) (2.0%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Fri 12 Adds KRW6 billion ($4 million) (4.2%) in MCap, top heavyweight rise in Aerospace products/parts sector 5,510",4,0.39,0.89,0.96,0.38
"Wed 17 Adds CNY272 million ($40 million) (1.4%) in MCap, top heavyweight rise in Aerospace & defense sector 15.49",4,0.39,0.89,0.96,0.38
"Thu 18 Adds CNY548 million ($81 million) (1.9%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
your ticket price which covers the levy airlines must pay to the Government for every passenger that leaves the country on a plane,7,0.20,0.80,0.94,0.44
"stronger revenue upon the return of air travel, will both be vital to re-establishing pre-pandemic levels at Genting’s resort",8,-0.02,0.71,0.90,0.59
"ESG is a growing priority for the company, its customers and the broader travel industry, and welcomed John to the team at a pivotal time as business travel activity returns at speed around the world",8,-0.02,0.71,0.90,0.67
"we will be able to hopefully announce increases in flights over the next two schedules,"" said Lee Lik Hsin, executive vice president commercial at Singapore Airlines",3,0.15,0.77,0.94,0.37
"thousands of aviation workers said holidaymakers were paying the price for ""chronic staff shortages"" brought on following the covid pandemic",7,0.20,0.80,0.91,0.49
Passengers will be willing to pay higher ticket prices to airlines,7,0.20,0.80,0.91,0.49
"The government has increased permissible flights per hour at Incheon International Airport from 20 to 40 again and lifted the nocturnal curfew this week, but actual numbers will take some time",3,0.15,0.77,0.91,0.48
"The airline has been expanding the transport capacity and air-route network to provide efficient and stable transport services for diverse products, especially fresh agricultural",6,0.04,0.77,0.90,0.67
"again, a month after China’s cabinet asked carriers to increase domestic and international flights in an orderly manner",3,0.15,0.77,0.91,0.45
"In the medium term, the management of EAMD European AeroMarine Drones AG (EAMD) plans to build up a portfolio of high-tech SMEs in the aviation sector with a focus on close and remote surveillance",6,0.04,0.77,0.91,0.71
because despite airlines opening up more routes there was a big increase in the number of inbound flights that triggered so-called circuit-breaker suspensions,3,0.15,0.77,0.93,0.43
Biman Bangladesh Airlines has increased the number of flights on domestic routes to meet the additional pressure of passengers ahead of Eid-ul-Azha holidays,3,0.15,0.77,0.92,0.47
"by the union Force Ouvrière (FO), which has criticised a big increase in air traffic in the past 10 years without new staff members being hired to manage the greater workload",3,0.15,0.77,0.92,0.44
"EAL is now fully enhancing its all-cargo aircraft utilisation and optimising flight networks to achieve a win-win situation for all parties along the aviation industrial chain, Yan said",6,0.04,0.77,0.91,0.65
"It’s time to hold the airlines accountable, because travelers shouldn’t pay the price for flight delays and cancellations",7,0.20,0.80,0.92,0.47
"booking flights they do not have the personnel to operate, which has caused delays and forced consumers to incur additional travel costs",7,0.20,0.80,0.96,0.35
China will enhance communications with countries to increase the number of international flights during the second half,3,0.15,0.77,0.91,0.46
"In addition, some airlines increased the number of flights and aircraft types during the pandemic, increasing emissions",3,0.15,0.77,0.90,0.47
"into Europe, where most carriers have increased the number of passenger",3,0.15,0.77,0.95,0.36
"to 14-day high       Thu 18 Adds EUR150 million ($153 million) (1.2%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"3.0 1.0 Top Rise       Mon 15 Adds $54 million (2.8%) in MCap, top heavyweight rise in Aerospace & defense sector 16.01",4,0.39,0.89,0.96,0.38
"Dassault Aviation (AM: EUR148.20) adds EUR150 million ($153 million) (1.2%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"A Share (600038: CNY50.09) adds CNY548 million ($81 million) (1.9%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Additionally, president Ali noted that the countries are also weighing the options to minimise the cost of air transportation",7,0.20,0.80,0.91,0.46
"on rising relative strength       Tue 16 Adds $76 million (3.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"15.12       Fri 12 Keeps rising, up 7.3% in 3 days 15.58 3.0 1.0 Top Rise       Mon 15 Adds $54 million (2.8%) in MCap, top heavyweight rise in Aerospace & defense sector 16.01",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Thu 11 Adds CNY2 billion ($249 million) (1.6%) in MCap, top heavyweight rise in Aerospace products/parts sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Thu 11 Adds RUB9 billion ($139 million) (9.8%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"relative strength       Tue 16 Adds CAD79 million ($61 million) (2.3%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Airbus ADR (EADSY: $28.19) adds $2 billion (1.9%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Thu 11 Adds RUB9 billion ($139 million) (9.8%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"5.9       Thu 11 Adds RUB9 billion ($139 million) (9.8%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"27.67 -1.0 -0.4 Steepest Fall       Tue 16 Adds $2 billion (1.9%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"on increasing volatility 99.08 -0.2 0.1 Steepest Fall       Mon 15 Adds $140 million (1.3%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"relative strength       Mon 15 Adds $54 million (2.8%) in MCap, top heavyweight rise in Aerospace & defense sector 16.01",4,0.39,0.89,0.96,0.38
"Thu 11 Adds CNY2 billion ($249 million) (1.6%) in MCap, top heavyweight rise in Aerospace products/parts sector",4,0.39,0.89,0.96,0.38
"227046109       Kratos Defense & Security Solutions (KTOS: $16.01) adds $54 million (2.8%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
These are important steps forward toward reducing emissions in the aviation sector,6,0.04,0.77,0.91,0.69
WestJet’s new schedule represents a 45% increase in flights to sun and beach destinations compared to winter 2021,3,0.15,0.77,0.92,0.44
"1.3       Thu 11 Adds CNY2 billion ($249 million) (1.6%) in MCap, top heavyweight rise in Aerospace products/parts sector",4,0.39,0.89,0.96,0.38
"on rising relative strength       Fri 12 Adds KRW6 billion ($4 million) (4.2%) in MCap, top heavyweight rise in Aerospace products/parts sector 5,510",4,0.39,0.89,0.96,0.38
"on rising relative strength       Tue 09 Adds KRW1 billion ($790,940) (1.3%) in MCap, top heavyweight rise in Aerospace products/parts sector 4,295",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Mon 08 Adds CNY4 billion ($559 million) (3.3%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Amid the sudden expansion of the aviation industry, airlines often face a looming shortage of pilots and hence reduce the minimum hours you need to apply for the role of the airline captain",6,0.04,0.77,0.95,0.53
"1.1       Mon 08 Adds CNY4 billion ($559 million) (3.3%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Thu 04 Adds CNY3 billion ($388 million) (2.4%) in MCap, top heavyweight rise in Aerospace products/parts sector",4,0.39,0.89,0.96,0.38
"as rising use of composite resin in automotive industry to increase fuel efficiency, increasing demand of lightweight materials in aviation industry are some of the factors that would create lucrative growth opportunities for the Composite Resin market across the region",0,0.11,0.71,0.90,0.64
"Mon 08 Adds CNY4 billion ($559 million) (3.3%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Tue 02 Adds $89 million (4.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"A Share (600893: CNY52.90) adds CNY4 billion ($559 million) (3.3%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"2.5       Thu 04 Adds CNY3 billion ($388 million) (2.4%) in MCap, top heavyweight rise in Aerospace products/parts sector",4,0.39,0.89,0.96,0.38
"Thu 04 Adds CNY3 billion ($388 million) (2.4%) in MCap, top heavyweight rise in Aerospace products/parts sector",4,0.39,0.89,0.96,0.38
Premier Li Keqiang decided to increase domestic and international passenger flights and release some supportive measures,3,0.15,0.77,0.90,0.49
"RPC % * Comment       Mon 01 Adds RUB2 billion ($29 million) (1.9%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"Tue 02 Adds $89 million (4.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"in 4 days 87.68 1.2 1.3 Price/MAP200 above 1 and rising       Tue Aug 02 Adds $89 million (4.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
There is a lot of growth in the aviation industry and that allows lots of new players,6,0.04,0.77,0.92,0.63
"It's time to hold the airlines accountable, because travelers shouldn't pay the price for flight delays and cancellations,"" said Rep",7,0.20,0.80,0.93,0.44
"87.68 1.2 1.3 Price/MAP200 above 1 and rising       Tue Aug 02 Adds $89 million (4.1%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"% RPC % * Comment       Thu Jul 28 Adds CNY2 billion ($340 million) (2.0%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"% RPC % * Comment       Thu Jul 28 Adds GBP23 million ($27 million) (3.9%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"% RPC % * Comment       Wed Jul 27 Adds $1 billion (2.3%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
Airport officials say the increase of passengers is partly because of an increase in nonstop flights to domestic and international destinations,3,0.15,0.77,0.91,0.51
"Steepest Fall       Thu Jul 28 Adds GBP23 million ($27 million) (3.9%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
every flight taken by Sentient Jet Card owners is offset to be both carbon and emissions neutral with no extra hidden costs for customers,7,0.20,0.80,0.92,0.43
as the post-Covid-19 recovery is expected to sustain the competition in India's cutthroat aviation sector is expected to intensify further,6,0.04,0.77,0.91,0.70
as the post-Covid-19 recovery is expected to sustain the competition in India’s cutthroat aviation sector is expected to intensify further,6,0.04,0.77,0.91,0.70
"% RPC % * Comment       Tue Jul 26 Adds CNY2 billion ($342 million) (2.3%) in MCap, top heavyweight rise in Aerospace products/parts sector",4,0.39,0.89,0.96,0.38
"Steepest Fall       Wed 27 Adds $1 billion (2.3%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"change % Comment       Mon 18 Adds KRW214 billion ($163 million) (4.5%) in MCap, top heavyweight rise in Aerospace & defense sector 50,700",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Mon 25 Adds $54 million (4.2%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"RPC % * Comment       Thu 21 Adds RUB24 billion ($442 million) (8.4%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"5,630.0 -0.2 0.1 Price/MAP50 below 1 and falling       Wed 20 Adds KRW3 billion ($3 million) (2.3%) in MCap, top heavyweight rise in Aerospace products/parts sector 5,760",4,0.39,0.89,0.96,0.38
"5,560.0 -0.7 -1.7 Price/MAP50 below 1 and falling       Fri 29 Adds KRW2 billion ($1 million) (1.3%) in MCap, top heavyweight rise in Aerospace products/parts sector 5,630",4,0.39,0.89,0.96,0.38
"29 Adds KRW2 billion ($1 million) (1.3%) in MCap, top heavyweight rise in Aerospace products/parts sector 5,630",4,0.39,0.89,0.96,0.38
"below 1       Wed 27 Adds $1 billion (2.3%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"change % Comment       Mon 18 Adds GBP548 million ($650 million) (2.2%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
"4,165       Wed 27 Adds KRW1 billion ($858,356) (1.4%) in MCap, top heavyweight rise in Aerospace products/parts sector 4,225",4,0.39,0.89,0.96,0.38
"Rolls Royce ADR adds $39 million (1.8%) in MCap, top heavyweight rise in Aerospace & defense sector",4,0.39,0.89,0.96,0.38
