document,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
The EU cannot let the aviation industry get away with their greenwashing any more and must reduce air traffic,36,0.01,0.75,0.81,0.94
"Niall Walsh, COO at Direct Ferries said “The ongoing disruption at UK airports for travellers, with many flights being delayed or cancelled due to staff shortages, as well as the soaring costs of car hire for holidaymakers due to lack of available vehicles",9,0.02,0.74,0.84,0.86
The airline is cutting 24 flights per day from Saturday 28 May to Monday 6 June inclusive,35,0.08,0.88,0.82,0.95
the joy of holidaymakers and airlines for the increase in the number of flights is fading from the long queues at many European airports,6,0.05,0.78,0.84,0.89
"30 flights at Gatwick on Tuesday, has been told, following British Airways and Tui in cutting schedules amid staff shortages",30,0.11,0.86,0.85,0.89
"Most European airlines had suspended fuel hedging after demand for flights collapsed during the pandemic, before subsequently resuming it last year as mobility restrictions lifted and bookings picked up",32,0.01,0.75,0.84,0.88
"many passengers consider flight disruptions an inconvenience that is out of their control,",16,0.01,0.90,0.90,0.93
Demand in the market is growing as the aviation sector gradually returns to normalcy,10,0.10,0.85,0.82,0.82
Amsterdam’s Schipol Airport is set to cut the number of flights,6,0.05,0.78,0.82,0.95
"Some airlines, such as Lufthansa and easyJet, have already announced plans to reduce flights this summer",12,0.11,0.86,0.87,0.97
"Amsterdam's Schiphol Airport on Thursday set a cap on the number of passengers it will handle during the summer travel season, citing labor shortages and forcing airlines to cut flights",6,0.05,0.78,0.87,0.82
Airlines including Lufthansa and EasyJet have already announced plans to reduce flights this summer,12,0.11,0.86,0.87,0.97
"It follows Gatwick Airport reducing their daily flights, affecting 4,000 routes",6,0.05,0.78,0.84,0.92
"All Lufthansa Group airlines have cut flights and schedules in response to the disruptions and additional cuts might still come, Lufthansa Group CEO and chairman Carsten Spohr confirmed on Monday during a roundtable with reporters",38,-0.03,0.80,0.80,0.95
"Malaysia Airlines (MAS) and Japan Airlines (JAL) have expanded their codeshare operations for the new direct flights from Kuala Lumpur to Haneda, Tokyo, beginning Aug 14",3,0.09,0.81,0.87,0.74
in-flight connectivity (IFC) system to be factory-installed on all new aircraft deliveries,28,0.07,0.90,0.90,0.94
"aviation’s environmental footprint and maximise emissions reductions, with the goal to reduce average CO2 emissions per flight by 5-10",37,0.02,0.73,0.86,0.88
"Poland’s air traffic fell by 38 per cent from February to March, Moore said,",21,-0.01,0.82,0.91,0.70
this level of flights fell far below the cost of keeping airspace open and safe during the pandemic,32,0.01,0.75,0.84,0.86
"popular airliner Lufthansa has already been forced to slash 3,000 flights this summer due to staffing shortages caused",12,0.11,0.86,0.81,0.95
"For now, the increase in the offer of flights is only for the summer period, but the Chief Executive of Lufthansa for Portugal admits to maintaining “some of the connections”, encouraged by the fact that",4,0.09,0.86,0.88,0.83
"at Dubai International airport, Emirates’ premium class customers and eligible Skywards members are also able to enjoy the airline",4,0.09,0.86,0.83,0.89
"the cost of business travel will rise extremely in 2022, even if the number of trips is still below the pre-crisis level",17,0.03,0.85,0.89,0.96
Europe’s biggest airline group is benefiting from rising fares as carriers cancel flights,6,0.05,0.78,0.82,0.87
"The global fleet of single-aisle jets, which are used for domestic flights, has returned to 98 percent of its pre-pandemic level, while multi-aisle planes, which are used for international flights, stands at 78 percent",6,0.05,0.78,0.82,0.98
"the Company operates, including an economic downturn leading to a decrease in demand for air travel or fluctuations in foreign currency exchange rates that may impact international travel demand",29,0.04,0.84,0.84,0.96
"passengers have been impacted by long queues, lost bags and canceled flights",9,0.02,0.74,0.87,0.91
